payment_id,date,reference,amount,vendor
PAY-1001,2024-04-01,INV-1001,1250.00,Northwind Supplies
PAY-1002,2024-04-01,INV-1002,840.50,Contoso Print
PAY-1003,2024-04-02,INV-1003,2300.00,Fabrikam Logistics
PAY-1004,2024-04-02,INV-1004,415.25,Blue Yonder Travel
PAY-1005,2024-04-03,INV-1005,998.99,Fourth Coffee
PAY-1006,2024-04-03,INV-1006,1575.30,Wide World Importers
PAY-1007,2024-04-04,INV-1007,625.00,Graphic Design Institute
PAY-1008,2024-04-04,INV-1008,3210.10,Lucerne Publishing
PAY-1009,2024-04-05,INV-1009,145.75,Proseware Services
PAY-1010,2024-04-05,INV-1010,780.00,Adventure Works
PAY-1011,2024-04-06,INV-1011,220.40,City Power
PAY-1012,2024-04-06,INV-1012,910.00,Red Maple Catering
PAY-1013,2024-04-07,INV-1013,1340.60,Alpine Ski House
PAY-1014,2024-04-07,INV-1014,455.45,Humongous Insurance
PAY-1015,2024-04-08,INV-1015,1845.00,Tailspin Toys
PAY-1016,2024-04-08,INV-1016,389.99,Coho Winery
PAY-1017,2024-04-09,INV-1017,2675.20,A. Datum Consulting
PAY-1018,2024-04-09,INV-1018,730.10,Wingtip Toys
PAY-1019,2024-04-10,INV-1019,1120.00,Woodgrove Bank
PAY-1020,2024-04-10,INV-1020,505.55,Trey Research
