posted_date,reference,amount,description
2024-04-01,INV-1001,1250.00,ACH Northwind Supplies
2024-04-01,INV-1002,840.50,ACH Contoso Print
2024-04-02,INV-1003,2300.00,Wire Fabrikam Logistics
2024-04-02,INV-1004,415.25,Card Blue Yonder Travel
2024-04-03,INV-1005,998.99,ACH Fourth Coffee
2024-04-03,INV-1006,1570.30,ACH Wide World Importers
2024-04-04,INV-1007,625.00,ACH Graphic Design Institute
2024-04-04,INV-1008,3210.10,Wire Lucerne Publishing
2024-04-05,INV-1009,145.75,ACH Proseware Services
2024-04-05,INV-1010,780.00,ACH Adventure Works
2024-04-06,INV-1011,220.40,Utility City Power
2024-04-06,INV-1012,910.00,ACH Red Maple Catering
2024-04-07,INV-1013,1345.60,ACH Alpine Ski House
2024-04-07,INV-1014,455.45,ACH Humongous Insurance
2024-04-08,INV-1015,1845.00,ACH Tailspin Toys
2024-04-08,INV-1016,389.99,ACH Coho Winery
2024-04-09,INV-1017,2675.20,ACH A. Datum Consulting
2024-04-09,INV-1018,730.10,ACH Wingtip Toys
2024-04-10,INV-1020,505.55,ACH Trey Research
